,acousticness,danceability,duration_ms,energy,if_liked,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
City Lights,0.00781,0.803,388947,0.83,1,0.0849,7,0.344,-5.942,0,0.218,128.002,4,0.421
Szanse,0.11,0.815,199687,0.576,1,0.00348,7,0.206,-10.808,0,0.211,120.046,4,0.292
Sparta - Original Mix,0.000976,0.676,355122,0.729,1,0.889,5,0.0349,-10.928,0,0.0367,120.001,3,0.784
Tarpuricusum Sarata - Captain Planet Remix,0.089,0.714,260505,0.623,1,0.00938,11,0.0913,-7.512,1,0.0592,92.021,4,0.847
Go Home,0.0196,0.652,223125,0.899,1,0.115,6,0.256,-5.794,0,0.0385,128.042,4,0.417
Niepoważny,0.0111,0.656,199200,0.803,1,4.9e-06,1,0.0583,-6.542,0,0.0377,145.987,4,0.817
Friend Of Mine (feat. Vargas & Lagola),0.0156,0.704,159864,0.705,1,0.00252,7,0.0688,-4.407,0,0.0553,109.973,4,0.613
Burn - Brennen Grey Remix,0.0409,0.613,335215,0.926,1,0.726,11,0.104,-9.933,1,0.0601,125.996,4,0.0478
Heard a Voice,0.208,0.57,191707,0.277,0,0.00582,7,0.106,-10.202,1,0.028,67.051,4,0.388
Gabriel,0.0122,0.769,240065,0.644,1,0.195,7,0.107,-8.798,1,0.0761,118.004,4,0.391
Fireflies,0.0165,0.644,184697,0.819,1,0.0028,4,0.126,-3.505,0,0.0479,128.129,4,0.383
Contra La Pared,0.0156,0.828,224681,0.588,1,0.0,2,0.124,-7.14,1,0.118,94.052,4,0.598
Beautiful Life,0.127,0.732,161464,0.52,1,0.0347,2,0.139,-6.684,0,0.0376,119.979,4,0.339
Nie Słuchaj (Robert Dziedowicz Remix),0.0474,0.274,222689,0.514,1,0.132,11,0.349,-10.708,0,0.0518,202.086,3,0.0863
Ocean Drive,0.0719,0.674,208000,0.858,1,0.815,11,0.309,-5.161,0,0.0345,119.959,4,0.0942
Pieśniarka i Król,0.706,0.531,155077,0.496,1,3.42e-05,3,0.105,-10.175,1,0.17,86.331,5,0.477
On My Own,0.0294,0.651,290261,0.721,0,0.0117,7,0.131,-6.229,0,0.0655,118.039,4,0.44
Autostrada 666,0.0722,0.697,111707,0.613,1,0.0,9,0.0958,-7.238,1,0.0586,102.419,4,0.484
"One, Two",0.0112,0.629,267944,0.974,1,0.898,11,0.12,-3.966,0,0.0502,123.992,4,0.774
Blizny,0.000588,0.574,210520,0.698,1,0.0,1,0.117,-5.575,0,0.0332,118.919,4,0.455
Return to Oz - ARTBAT Remix,0.563,0.854,480000,0.93,1,0.697,2,0.0815,-7.528,1,0.0439,123.998,4,0.192
Heliocentrist - Original,0.266,0.671,348725,0.82,1,0.782,2,0.126,-5.718,1,0.0656,160.033,4,0.867
Flou,0.00775,0.333,385702,0.555,1,0.934,7,0.09,-8.724,1,0.0372,111.998,4,0.437
Living,0.0605,0.762,197733,0.821,1,0.00341,0,0.141,-4.087,1,0.0453,121.98,4,0.858
Happy Anywhere (feat. Gwen Stefani),0.1,0.538,170173,0.745,0,0.0,8,0.063,-5.774,1,0.0387,165.755,4,0.669
Wonders,0.00545,0.624,187636,0.804,1,3.32e-06,7,0.0959,-8.133,1,0.0428,109.993,4,0.724
Nothing Is Free - Original Mix,8.67e-05,0.563,369951,0.977,0,0.388,10,0.564,-1.707,0,0.0993,102.528,4,0.229
"Studio, Scena, Łóżko - Lech Music 2020",0.0473,0.6,230640,0.526,1,0.0,5,0.285,-8.17,0,0.132,120.105,4,0.333
Worst Way,0.711,0.688,172800,0.403,0,0.0,5,0.0908,-10.402,0,0.305,124.871,4,0.225
Bette Davis Eyes,0.0204,0.675,228000,0.649,0,0.0,5,0.0959,-10.271,1,0.0319,116.624,4,0.596
"Lies In The Dark - From ""Fifty Shades Darker"" (Original Motion Picture Soundtrack)",0.0247,0.303,221440,0.444,1,0.0,1,0.0854,-7.812,1,0.0493,177.501,4,0.162
Ya Kidding,0.00177,0.813,238080,0.983,1,0.546,1,0.502,-5.515,1,0.153,125.007,4,0.77
Munaspaqa Suyaykuway,0.62,0.519,182293,0.403,0,0.938,10,0.118,-12.81,0,0.048,102.506,4,0.968
Never Seen the Rain,0.44,0.485,200756,0.461,0,0.0,9,0.232,-5.646,1,0.0444,87.009,4,0.324
Know Your Worth,0.145,0.79,181436,0.694,0,0.00252,9,0.281,-7.726,0,0.0708,103.007,4,0.508
I Hear You,0.233,0.541,158894,0.751,1,0.000862,8,0.12,-3.093,0,0.0747,118.035,4,0.422
Let Go Of The Wheel,0.0262,0.393,240186,0.641,1,0.0,8,0.0867,-8.785,1,0.0436,159.776,4,0.597
Crossroads,0.0223,0.569,208051,0.895,1,0.0,6,0.159,-3.082,0,0.0945,127.892,4,0.436
bigos,0.223,0.84,218227,0.805,1,4.51e-06,6,0.0839,-8.317,1,0.188,152.075,3,0.945
Hidden Garden (Atari Wu Remix),0.0496,0.523,209421,0.45,1,0.0101,6,0.0978,-10.497,0,0.0993,93.749,4,0.332
Sam na sam,0.000495,0.711,200548,0.926,0,1.96e-05,11,0.0981,-5.862,0,0.0433,145.985,4,0.899
"Concerning Hobbits (From ""The Lord of the Rings: The Fellowship of the Ring"")",0.861,0.33,164107,0.183,1,0.923,2,0.124,-16.816,1,0.0366,104.066,4,0.0786
Winter Is Coming,0.151,0.505,253160,0.652,0,0.000273,11,0.293,-7.043,0,0.0351,139.976,4,0.186
Awake (feat. J.U.D.G.E) - Agoria Remix,0.000937,0.719,356493,0.78,1,0.0134,11,0.0703,-8.751,0,0.0334,120.03,4,0.299
Keep Your Disease,0.00214,0.526,215080,0.905,1,0.316,9,0.353,-3.984,1,0.076,139.974,4,0.361
Forever And A Night,0.222,0.791,191973,0.677,0,0.0,4,0.0441,-6.721,0,0.0707,100.026,4,0.669
Grey,0.053,0.833,293579,0.582,1,0.0577,11,0.108,-6.987,0,0.0659,125.026,4,0.209
Let Me Love You - Don Diablo Remix,0.0107,0.68,266680,0.853,1,0.000246,0,0.11,-3.171,0,0.0699,125.908,4,0.284
I'll Remember April - Instrumental,0.768,0.435,352293,0.499,0,0.107,9,0.131,-8.576,0,0.0317,121.924,4,0.683
World of the Dream,0.15,0.242,276044,0.756,0,0.282,7,0.0889,-3.162,1,0.0635,92.821,4,0.0393
Za Późno,0.00414,0.757,228923,0.791,1,0.000279,8,0.141,-7.082,0,0.0698,129.982,4,0.468
Higher,0.00859,0.62,295297,0.606,1,0.725,8,0.136,-11.572,0,0.035,124.004,4,0.625
The Look,0.623,0.638,277653,0.535,1,0.0391,9,0.0837,-7.792,0,0.0415,84.947,4,0.504
Entanglements,0.264,0.59,188472,0.772,0,0.0,1,0.34,-3.599,1,0.172,155.852,4,0.748
T'as vu,0.0961,0.72,241053,0.639,1,0.00327,2,0.229,-11.447,0,0.0538,122.961,4,0.331
MIA (feat. Drake),0.0141,0.817,210368,0.539,1,0.000496,6,0.099,-6.349,0,0.0621,97.062,4,0.158
Home Tonight,0.00157,0.629,210000,0.776,1,0.111,1,0.152,-6.555,1,0.0939,119.98,4,0.485
Sun up Sun Down,0.0104,0.357,327634,0.766,0,0.85,5,0.149,-6.491,0,0.214,176.358,4,0.499
Liquid Slow,0.0103,0.73,406344,0.556,0,0.874,1,0.104,-8.307,1,0.0466,130.047,4,0.313
Zulu,0.0334,0.705,465225,0.613,1,0.878,6,0.11,-11.04,1,0.0429,124.0,4,0.0775
Fool,0.000759,0.664,215018,0.674,1,0.787,5,0.0974,-7.715,0,0.0368,112.035,4,0.346
Jak dobrze,0.0308,0.565,311427,0.805,1,0.000181,0,0.119,-7.474,1,0.102,82.038,4,0.693
Like It or Not - Joris Voorn Remix,0.002,0.745,456680,0.739,1,0.829,9,0.252,-7.868,1,0.0385,123.997,4,0.234
Phoenix (we rise) - Radio Edit,0.0263,0.593,192381,0.915,1,1.83e-05,7,0.444,-2.883,1,0.0818,125.941,4,0.23
Strach,0.913,0.361,329772,0.148,0,0.00681,2,0.0879,-18.909,0,0.0317,107.309,4,0.0779
Catch You By Surprise,0.0018,0.611,210016,0.667,1,0.0795,2,0.131,-6.208,1,0.0368,119.015,4,0.213
Guns Are Loaded,0.0254,0.532,256587,0.739,0,4.03e-06,8,0.0498,-4.066,1,0.0325,145.031,4,0.295
How Far We've Come,0.0807,0.639,239720,0.667,0,9.41e-05,8,0.0571,-3.725,1,0.046,100.851,4,0.514
Agua,0.00843,0.731,366614,0.97,1,0.354,9,0.0349,-3.546,0,0.0892,126.998,4,0.488
Rebel Yell,0.000753,0.53,288533,0.864,0,0.000459,4,0.354,-4.948,0,0.061,166.312,4,0.484
I Do The Most (feat. Lil Keed) - Pixel Terror Remix,0.0182,0.859,224762,0.73,0,0.00329,8,0.0976,-3.031,0,0.221,126.066,4,0.391
Dio$ No$ Libre Del Dinero,0.867,0.583,108000,0.439,1,6.97e-05,8,0.333,-8.562,0,0.325,61.837,4,0.232
Guilty,0.23,0.7,186213,0.705,0,0.0,9,0.0827,-6.845,0,0.0761,82.46,4,0.401
Cola,0.0245,0.706,223869,0.74,1,0.512,6,0.135,-7.904,1,0.0325,122.007,3,0.444
Don't you wanna,0.00224,0.542,230897,0.807,1,0.00222,11,0.117,-7.752,0,0.0347,145.051,4,0.562
Under the Concrete,0.705,0.431,205876,0.392,0,7.33e-06,6,0.174,-9.994,0,0.0585,98.667,3,0.3
Dark Side,0.133,0.723,495063,0.791,1,0.834,0,0.28,-6.075,1,0.162,124.978,4,0.573
Follow,0.0375,0.725,337500,0.908,0,0.822,7,0.108,-8.798,1,0.0345,128.006,4,0.134
Canned Champagne,0.44,0.603,246413,0.887,0,0.496,1,0.0836,-5.343,1,0.0664,92.982,4,0.803
The Great Unknown,0.00071,0.443,181440,0.888,0,4.91e-06,1,0.303,-3.333,1,0.0714,162.067,4,0.637
Wilderness - Agim Remix,0.00205,0.626,249719,0.864,1,0.134,8,0.1,-6.326,1,0.0316,126.994,4,0.635
Syntetyczny Bóg,0.133,0.757,177893,0.771,1,0.0,10,0.232,-8.55,0,0.354,124.044,4,0.473
"I'm Going to Make a Cake (from ""The Hours"" Soundtrack)",0.987,0.168,184573,0.0358,0,0.864,9,0.0659,-24.464,0,0.0385,81.364,3,0.0354
HAL,0.08,0.791,345360,0.927,1,0.815,4,0.0912,-10.172,0,0.0499,125.006,4,0.0326
Guinea,0.000931,0.625,182049,0.989,1,0.102,1,0.37,-3.232,0,0.0629,125.965,4,0.645
Co się z nami stało,0.0135,0.591,235413,0.803,1,0.00557,9,0.376,-3.823,1,0.0241,102.022,4,0.725
ridin' round the town w czyimś bel air,0.308,0.904,155267,0.425,1,0.000312,9,0.0852,-9.835,1,0.242,99.985,4,0.422
SYRENA,0.0475,0.808,228000,0.242,1,4.22e-06,2,0.111,-16.979,1,0.0466,120.078,4,0.226
Na flecie,0.115,0.682,176007,0.931,0,0.0,6,0.0922,-5.374,0,0.118,163.022,4,0.964
Things A Man Oughta Know,0.518,0.661,206320,0.67,0,2.2e-06,3,0.13,-5.58,1,0.0307,139.852,4,0.357
Betonowy las,0.0152,0.878,206609,0.588,1,0.000903,5,0.12,-6.214,0,0.0526,115.011,4,0.457
You Make Me,0.00247,0.586,233347,0.727,0,0.0107,6,0.152,-4.799,1,0.039,124.99,4,0.496
Kosmiczne Energie,0.736,0.599,314673,0.535,0,1.2e-05,3,0.1,-9.182,1,0.0405,129.911,4,0.252
Here Tonight - Blinders Radio Edit,0.000404,0.514,208198,0.95,1,0.534,10,0.838,-5.088,0,0.0374,127.981,4,0.377
Chicago Freestyle (feat. Giveon),0.629,0.735,220488,0.449,0,0.0,10,0.113,-7.507,1,0.347,122.947,4,0.0397
Love On A Real Train,0.973,0.576,236573,0.275,1,0.941,5,0.0651,-23.139,0,0.0458,111.324,4,0.812
"The Fellowship (From ""The Lord of the Rings: The Fellowship of the Ring"")",0.845,0.16,352467,0.242,1,0.958,11,0.303,-14.909,0,0.0376,135.964,1,0.0565
More Than My Hometown,0.601,0.621,216573,0.882,0,0.0,6,0.132,-5.01,1,0.0459,126.014,4,0.574
Endless Words,0.0373,0.746,257561,0.871,1,0.866,11,0.0598,-6.398,1,0.0383,123.014,4,0.144
Bourlingue (kramder Remix),0.127,0.768,299520,0.976,0,0.439,4,0.0379,-2.795,0,0.133,124.992,4,0.856
hole in the bottle - ballerini album version,0.504,0.672,152440,0.552,0,0.0,4,0.0636,-6.375,1,0.0316,105.02,4,0.594
Loco Contigo (with J. Balvin & Tyga),0.285,0.822,185195,0.743,1,2.31e-06,6,0.102,-3.04,0,0.0567,96.025,4,0.355
So Far Away (feat. Jamie Scott & Romy Dya) - BLR Remix,0.111,0.756,183415,0.515,1,0.0289,6,0.147,-11.152,0,0.0701,122.868,4,0.0876
The Sun Goes Down,0.314,0.6,379560,0.458,0,0.449,2,0.198,-14.204,0,0.0274,129.46,4,0.301
El Abuelo,0.0305,0.865,331159,0.371,1,0.862,9,0.107,-10.795,1,0.12,115.027,4,0.307
Symmetry,0.471,0.251,218512,0.318,0,0.294,7,0.267,-11.825,1,0.0315,147.915,4,0.361
"Lato, którego nie było",0.293,0.635,196500,0.681,1,0.000193,4,0.877,-10.724,0,0.068,159.95,4,0.797
Move All Night,0.246,0.797,197419,0.692,1,0.0585,7,0.132,-5.845,0,0.0372,124.012,4,0.185
Spirit,0.24,0.342,176327,0.659,1,0.775,9,0.171,-7.448,0,0.0352,146.987,4,0.183
Omen,0.00403,0.679,495621,0.859,1,0.871,8,0.14,-9.618,1,0.0361,124.996,4,0.323
Minor Heaven,0.818,0.227,233453,0.489,0,0.0,4,0.109,-6.125,0,0.0336,143.399,4,0.111
Embrace,0.562,0.666,243287,0.594,1,0.484,7,0.0983,-8.067,0,0.0578,95.025,4,0.939
Record,0.0784,0.655,200171,0.457,1,0.00735,7,0.183,-10.186,1,0.142,116.053,4,0.209
So Tender,0.818,0.373,435267,0.302,0,0.835,1,0.171,-20.358,0,0.0376,86.925,4,0.35
Skrable,0.608,0.839,243547,0.647,1,0.0,2,0.0604,-7.624,1,0.131,124.018,4,0.44
A1 Dip (with Scrufizzer),0.0661,0.9,211000,0.924,0,0.000671,2,0.0902,-3.534,1,0.0669,128.994,4,0.716
Nieszczęśliwa,0.173,0.775,264840,0.649,1,0.000305,9,0.116,-8.795,1,0.0477,112.989,4,0.604
Witness 4 The Prosecution (Version 1) - 2020 Remaster,0.00656,0.494,239803,0.844,0,0.254,9,0.663,-9.465,1,0.06,191.111,4,0.787
Prende la vela - The Cube Guys Mix,0.000606,0.721,357600,0.991,1,0.893,7,0.048,-1.779,0,0.0666,124.994,4,0.44
Airodime,0.0485,0.621,366304,0.942,1,0.841,2,0.0925,-4.768,0,0.0432,128.001,4,0.414
nowe dni,0.209,0.708,195602,0.2,1,0.116,5,0.0831,-16.851,0,0.0407,123.998,4,0.238
I Wanna Dance with Somebody (Who Loves Me),0.207,0.709,291293,0.824,0,0.000307,1,0.0888,-8.824,1,0.0453,118.818,4,0.867
Chociaż raz,0.191,0.647,207860,0.52,1,0.0244,10,0.11,-7.765,0,0.0378,114.996,4,0.696
Lay Me Down - Avicii By Avicii,0.0032,0.752,362893,0.494,1,0.00308,11,0.0667,-6.409,0,0.183,127.957,4,0.363
Malinowy Chruśniak,0.0962,0.632,257284,0.621,1,0.00786,2,0.115,-9.772,0,0.0824,134.94,4,0.416
Nu World,0.000514,0.698,351723,0.774,0,0.626,0,0.0939,-7.377,1,0.0433,125.997,4,0.394
MTV,0.00916,0.767,181986,0.927,1,0.000604,0,0.337,-5.118,1,0.282,125.001,4,0.474
Super Swing - Original Mix,0.000243,0.803,361905,0.947,1,0.526,6,0.168,-5.214,0,0.0977,125.975,4,0.828
Rumble,0.000967,0.533,228000,0.941,1,0.969,4,0.241,-5.052,0,0.0395,121.987,4,0.474
Back To That,0.00274,0.872,192731,0.933,0,0.67,8,0.106,-3.125,1,0.121,126.022,4,0.649
7700M - Original Mix,0.0642,0.797,412199,0.526,1,0.754,8,0.0627,-9.392,1,0.0546,124.029,4,0.344
Space-Dye Vest,0.174,0.564,449107,0.615,0,0.179,2,0.199,-8.957,0,0.0293,101.888,4,0.0814
Epikur - Original,0.0122,0.556,490725,0.598,1,0.905,1,0.269,-11.109,1,0.0311,117.989,4,0.142
Hawái,0.185,0.783,199112,0.727,0,2.46e-05,6,0.0626,-3.454,0,0.389,180.067,4,0.558
Wiersz Ostatni,0.288,0.514,202520,0.602,1,0.000534,1,0.0743,-5.976,0,0.0564,150.028,4,0.638
Abonent jest czasowo niedostępny,0.391,0.644,273960,0.636,0,1.24e-06,7,0.132,-9.27,0,0.142,110.15,4,0.149
God Whispered Your Name,0.306,0.594,232165,0.6,0,0.0,2,0.149,-6.712,1,0.0498,145.967,4,0.5
Bonfire,0.064,0.771,183003,0.785,1,1.27e-05,2,0.085,-3.915,0,0.0832,111.065,4,0.334
Street Life,0.00357,0.441,183307,0.982,1,0.754,7,0.947,-4.597,1,0.101,127.018,4,0.143
Unity (Sensation Chile Anthem 2017),0.0118,0.714,194286,0.966,1,0.0023,8,0.357,-3.868,1,0.158,126.029,4,0.648
Mazowiecka Kiecka,0.0457,0.759,238107,0.92,0,2.05e-05,9,0.609,-5.888,1,0.274,130.961,4,0.833
Calma - Remix,0.323,0.826,238200,0.773,1,0.0,11,0.143,-4.218,0,0.0524,126.899,4,0.761
Here's The Thing,0.0586,0.395,175093,0.962,0,0.0,7,0.339,-2.662,1,0.183,171.96,4,0.523
Come On,5.14e-06,0.225,209529,0.727,0,5.12e-06,0,0.255,-3.78,1,0.0458,171.83,4,0.365
Enigma - Extended Mix,0.00137,0.655,272797,0.848,1,0.771,1,0.071,-6.004,0,0.0925,128.017,4,0.631
Plac Zbawiciela (A_GIM Remix),0.0224,0.784,210164,0.653,1,3.09e-05,0,0.109,-9.942,1,0.0381,106.009,4,0.635
See Ya Soon,0.398,0.629,232663,0.349,0,0.0012,3,0.128,-9.203,1,0.0294,132.001,4,0.209
Pure Gasoline,0.0246,0.936,243810,0.799,1,0.2,4,0.535,-5.623,1,0.348,126.036,4,0.493
Whatever You Want,0.31,0.683,218472,0.422,1,0.00536,6,0.0921,-10.001,0,0.0505,126.025,4,0.109
The Woo (feat. 50 Cent & Roddy Ricch),0.0221,0.49,201600,0.618,0,3.77e-06,1,0.259,-5.655,1,0.104,99.7,4,0.286
Hypnotized - Joyhauser Remix,0.00344,0.635,401627,0.859,0,0.869,7,0.537,-6.897,1,0.0447,131.001,4,0.208
Wonderful Life,0.705,0.72,287933,0.521,0,0.36,7,0.214,-12.468,1,0.0302,106.055,4,0.823
Close Your Eyes,0.799,0.565,386700,0.222,0,0.000213,5,0.0934,-19.933,0,0.0646,99.198,4,0.689
Latido,0.00213,0.571,177874,0.929,1,0.07,0,0.653,-7.046,1,0.133,126.982,4,0.599
This Is The Life,0.259,0.628,184413,0.882,1,0.0,1,0.065,-5.024,0,0.0323,95.083,4,0.853
Bota - Original Mix,0.00305,0.591,247742,0.867,1,0.71,1,0.12,-4.449,1,0.133,123.877,4,0.335
ULTRAVIOLET (feat. Justyna Święs),0.0545,0.583,227586,0.546,1,0.000332,7,0.102,-7.625,1,0.0302,115.974,4,0.116
Engrave,0.000449,0.646,448056,0.494,1,0.926,11,0.0618,-11.36,0,0.0329,122.009,4,0.0457
Zaczekaj przed drzwiami,0.488,0.735,166395,0.487,1,0.0,5,0.429,-12.016,0,0.397,90.968,4,0.604
Let The Chaos Reign,3.26e-05,0.489,198552,0.948,0,0.691,9,0.139,-3.974,1,0.0456,107.975,4,0.549
Final Call - VIP Mix,0.0665,0.335,217617,0.77,1,0.000667,4,0.0984,-6.76,0,0.199,75.451,4,0.488
Stronger,0.219,0.718,230467,0.676,0,0.000167,6,0.338,-7.442,0,0.0307,97.027,4,0.595
Blood Is Thicker Than Water,0.13,0.759,441889,0.454,0,0.095,4,0.0515,-13.392,0,0.0841,101.041,4,0.702
Rain On Me (with Ariana Grande),0.021,0.672,182200,0.855,0,0.0,9,0.323,-3.764,1,0.0397,123.056,4,0.646
Agua de Estrellas,0.186,0.378,591200,0.432,1,0.0,7,0.0445,-9.994,0,0.0706,86.101,4,0.152
My Oasis (feat. Burna Boy),0.569,0.691,179917,0.474,0,0.000626,10,0.099,-8.742,0,0.0583,143.783,4,0.381
GIRL - Deorro & Dave Mak Remix,0.00116,0.768,195117,0.935,0,0.06,5,0.0685,-1.635,0,0.264,128.015,4,0.396
Real Life,0.0315,0.676,176736,0.652,1,6.54e-06,5,0.0871,-6.541,1,0.0247,100.093,4,0.641
Paranoid,0.0125,0.627,170223,0.889,0,0.1,9,0.115,-3.977,1,0.0369,109.95,4,0.382
Piñata,0.00238,0.731,161429,0.959,1,0.897,11,0.324,-5.975,0,0.0717,125.987,4,0.244
Carita de Inocente,0.123,0.573,191209,0.691,1,0.0,10,0.0746,-5.142,0,0.0601,129.946,4,0.93
Viento,0.0037,0.659,228690,0.971,1,0.0129,3,0.0926,-3.818,0,0.0527,126.014,4,0.343
Heart,0.000862,0.594,182632,0.959,1,0.567,1,0.476,-5.451,1,0.0695,126.006,4,0.0967
Take Five,0.539,0.454,324133,0.26,0,0.00078,8,0.0675,-13.193,0,0.0401,174.322,5,0.598
Lovin' On You,0.00165,0.572,194867,0.949,0,0.000195,4,0.163,-4.865,1,0.06,118.974,4,0.53
Aspen,0.405,0.646,270179,0.519,1,0.843,4,0.102,-8.696,0,0.0436,83.975,4,0.72
Slappy,0.000569,0.387,242759,0.849,0,0.0031,6,0.0733,-3.857,0,0.0343,173.975,4,0.397
Breathe,0.493,0.387,188361,0.571,1,0.0,7,0.106,-6.354,0,0.0402,152.906,5,0.555
Mandarynki,0.568,0.872,234362,0.468,1,0.0,11,0.108,-7.808,0,0.372,86.004,4,0.411
Keep The Lights On Me,0.00158,0.445,227262,0.886,0,5.44e-06,7,0.0424,-6.592,1,0.0647,81.37,4,0.382
Tilia,0.252,0.642,331596,0.572,1,0.631,4,0.149,-12.259,0,0.0411,122.993,4,0.0715
Without You - Merk & Kremont Remix,0.00656,0.713,260952,0.929,1,0.000115,11,0.0919,-3.331,0,0.0341,126.016,4,0.172
Interpol,0.645,0.622,197040,0.893,1,0.0,8,0.0569,-6.784,0,0.376,92.171,4,0.511
Turbo,0.0125,0.411,215653,0.786,0,0.768,10,0.0969,-10.024,0,0.0396,172.969,4,0.347
POPSTAR (feat. Drake),0.057,0.8,200221,0.56,0,0.0,5,0.134,-4.818,0,0.261,163.071,4,0.45
DIAMANT,0.813,0.347,154299,0.272,0,2.37e-05,0,0.102,-11.841,0,0.0375,140.506,4,0.122
Mantra - Axwell Cut,0.0107,0.83,300000,0.855,1,0.926,7,0.32,-4.67,1,0.0565,125.018,4,0.44
Danza de la Burrita,0.00366,0.901,387702,0.593,1,0.37,8,0.103,-7.876,1,0.0549,120.007,4,0.568
Tracę,0.0296,0.618,227116,0.607,1,0.0289,9,0.06,-10.35,0,0.0971,128.027,4,0.0683
Courtney,0.621,0.602,164613,0.56,0,0.000257,0,0.113,-10.585,1,0.0711,139.99,4,0.338
You're Not Alone - Solomun Remix,0.000847,0.771,503083,0.849,1,0.768,6,0.0839,-7.241,0,0.0522,119.994,4,0.293
True Lies,0.00032,0.367,348040,0.769,0,0.628,9,0.0631,-7.258,1,0.0317,173.186,4,0.7
Another World,0.00121,0.351,264947,0.877,0,0.783,7,0.119,-5.044,0,0.0422,169.999,4,0.238
I Love You,0.341,0.687,258463,0.454,0,0.000639,7,0.191,-18.041,0,0.0338,107.67,4,0.714
Pacific Coast Highway,0.00256,0.69,344267,0.827,1,0.524,8,0.121,-7.126,1,0.0416,120.021,4,0.28
"Matylda (na żywo, akustycznie)",0.641,0.79,326379,0.577,1,2.69e-06,0,0.0851,-6.277,1,0.0357,109.98,4,0.666
People On The High Line - Claptone Remix,0.000355,0.814,378688,0.877,1,0.455,0,0.205,-6.84,1,0.0533,122.003,4,0.64
Vavilon,0.0227,0.56,337500,0.99,1,0.895,7,0.21,-1.81,1,0.0483,128.003,4,0.476
Life Eternal,0.0188,0.443,207120,0.612,0,1e-06,1,0.103,-7.321,1,0.0275,155.961,4,0.204
Thunder,0.0477,0.317,169687,0.964,1,0.0617,6,0.263,-4.042,1,0.0719,127.952,4,0.4
She Was a Doorman,0.0768,0.431,243200,0.892,0,1.49e-05,0,0.211,-4.103,1,0.114,185.965,4,0.844
Wyjątkowe oczy,0.0701,0.714,190006,0.93,0,0.000353,0,0.414,-6.855,1,0.0499,137.961,4,0.968
Hardcore,0.000407,0.545,192941,0.94,0,0.491,0,0.101,-4.398,1,0.093,150.009,4,0.138
Above,3.32e-05,0.764,230323,0.707,1,0.218,0,0.16,-9.216,1,0.0458,124.021,4,0.462
Wata,0.168,0.833,224615,0.477,1,0.0,11,0.0994,-8.608,0,0.261,116.939,4,0.921
The Bard's Song - In the Forest - Remastered 2007,0.846,0.583,189893,0.415,0,5.2e-05,8,0.141,-7.56,0,0.0261,81.247,3,0.399
I Love Rock 'N Roll,0.326,0.535,175173,0.716,0,0.0,4,0.659,-5.025,1,0.0431,94.379,4,0.901
Just Can't Get Enough,0.403,0.766,220893,0.772,0,0.0584,0,0.183,-9.362,1,0.0353,128.166,4,0.92
Melodia ulotna,0.467,0.521,245227,0.906,1,0.00029,6,0.186,-3.96,0,0.0567,152.035,4,0.673
Hey Brother - Avicii By Avicii,0.0204,0.603,369947,0.714,1,0.0888,3,0.233,-6.009,1,0.0558,124.994,4,0.265
Turn up the Sound,0.119,0.696,229133,0.91,0,0.00835,2,0.213,-5.221,1,0.171,114.562,4,0.607
Confident (feat. The MB's),0.0627,0.687,199893,0.868,0,0.00113,6,0.0833,-6.798,0,0.0888,102.121,4,0.801
Don't Go,0.312,0.803,188467,0.411,0,0.00344,6,0.0411,-16.013,1,0.0521,126.236,4,0.654
La Niña Blanca,0.463,0.506,235133,0.412,0,0.186,1,0.114,-10.437,0,0.0387,92.849,4,0.422
Pojednanie,0.0672,0.67,240280,0.848,0,0.000213,6,0.123,-5.742,0,0.0376,128.0,4,0.347
Fala,0.628,0.699,191272,0.422,1,0.83,1,0.099,-14.041,0,0.056,134.015,4,0.262
Let's All Chant,0.00216,0.775,184320,0.791,1,0.000414,4,0.115,-5.198,0,0.0559,125.027,4,0.727
Well Run Dry,0.0602,0.71,244840,0.914,0,0.00377,9,0.165,-3.592,1,0.0749,125.039,4,0.742
More Than This,0.0424,0.657,272857,0.552,0,0.039,6,0.106,-11.77,1,0.0255,128.494,4,0.759
Genesi,0.131,0.616,281613,0.85,1,0.962,10,0.0755,-7.756,0,0.0365,124.007,4,0.0784
Rosebud,0.000951,0.729,433126,0.597,1,0.922,6,0.0491,-11.128,0,0.0467,126.009,4,0.0639
The Fib,0.000139,0.61,205032,0.689,1,0.0087,7,0.106,-7.75,0,0.0609,124.013,4,0.137
Lovelorn,0.262,0.451,251293,0.515,0,0.339,7,0.0652,-8.602,1,0.0297,124.914,4,0.0691
Zimne Ognie,0.000446,0.438,214533,0.879,0,1.54e-06,11,0.087,-5.948,0,0.0773,142.477,4,0.307
Movin' On - Original,0.00864,0.842,433920,0.83,1,0.926,8,0.0549,-7.231,0,0.0708,125.003,4,0.481
Got No Love,0.0946,0.654,173333,0.932,1,0.0,7,0.347,-1.18,0,0.344,125.987,4,0.7
Golden Pineapple,0.000696,0.667,188110,0.948,1,0.973,9,0.151,-4.149,0,0.104,125.973,4,0.323
Unapologetic Raver,0.0236,0.721,213020,0.891,0,0.00489,2,0.138,-7.115,1,0.148,126.974,4,0.575
Give Me the Night,0.314,0.85,222627,0.466,0,0.0234,1,0.129,-15.673,1,0.0555,109.936,4,0.86
