,acousticness,danceability,duration_ms,energy,if_liked,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Glue,0.0158,0.853,269150,0.798,1,0.948,4,0.0967,-7.995,0,0.068,129.983,4,0.42
"O, matko!",0.299,0.677,205613,0.707,1,0.0063,2,0.316,-8.369,1,0.0278,95.045,4,0.483
Static,0.526,0.716,207537,0.866,1,0.00124,5,0.0737,-3.992,0,0.0359,125.065,4,0.28
Going Up,0.0319,0.613,187532,0.793,0,0.0,0,0.341,-6.82,0,0.0666,180.026,4,0.806
Come On,0.016,0.772,180692,0.837,1,0.565,7,0.174,-6.872,1,0.357,124.948,4,0.491
Devil May Cry,0.00733,0.297,193648,0.371,0,2.79e-06,6,0.31,-9.592,0,0.0324,149.751,4,0.223
Miami 82 - Kygo Remix,0.177,0.708,341947,0.6,1,0.119,2,0.0578,-7.099,0,0.0407,112.995,4,0.604
Somebody's Watching Me - Single Version,0.0409,0.767,237760,0.712,0,8.08e-05,1,0.132,-4.128,0,0.0324,124.092,4,0.804
The Coast,0.00424,0.867,359255,0.401,1,0.911,6,0.107,-9.61,0,0.108,115.013,4,0.526
Indian Summer,0.0666,0.754,438750,0.748,1,0.916,1,0.0857,-9.706,1,0.0595,123.002,4,0.0728
Planet Caravan,0.721,0.668,243427,0.317,0,0.432,1,0.143,-15.705,0,0.0329,85.831,4,0.348
How Else - Todd Terry Remix,0.000258,0.836,175238,0.91,0,0.0824,1,0.368,-8.676,1,0.0757,126.037,4,0.328
Szare miraże - Live,0.00229,0.34,291253,0.927,1,8.41e-05,2,0.76,-7.26,1,0.108,183.402,4,0.295
One More Day,0.00636,0.818,159713,0.815,1,0.00227,9,0.296,-5.237,0,0.0474,124.038,4,0.608
Fête,0.242,0.685,196462,0.947,1,0.578,11,0.364,-6.756,0,0.0462,124.004,4,0.669
Ostatni raz,0.0119,0.843,222941,0.625,1,2.95e-06,11,0.0727,-6.77,0,0.15,102.004,4,0.562
Tesko,0.635,0.727,239720,0.646,1,4.54e-05,0,0.105,-7.99,1,0.0494,98.001,4,0.716
Cherry Pie (feat. Pharrell Williams),0.214,0.69,215621,0.685,0,0.0,5,0.136,-6.351,0,0.0957,109.878,4,0.468
Melodrama,0.00369,0.482,395817,0.506,1,0.113,11,0.0386,-8.211,1,0.0593,127.987,4,0.267
Bien Duro,0.0422,0.802,234960,0.793,1,0.00725,1,0.0364,-4.423,0,0.0905,124.982,4,0.787
Nobody Knows (feat. WYNNE) - Pham Remix,0.601,0.695,222006,0.381,1,0.0709,8,0.159,-8.203,0,0.0521,139.831,4,0.241
Desire - Single Edit,0.193,0.659,265282,0.831,1,0.498,7,0.111,-6.575,1,0.0485,120.002,4,0.419
I Don't Know How (French 79 Remix),0.138,0.665,425755,0.521,1,0.884,11,0.108,-10.469,1,0.0614,117.975,4,0.197
Oddychasz,0.0378,0.613,182187,0.697,1,0.00147,5,0.781,-7.091,0,0.0249,109.993,4,0.312
Romani (feat. Steve Angello),0.0673,0.418,199048,0.923,1,4.36e-05,0,0.184,-3.204,0,0.333,125.643,4,0.0576
VIF,0.212,0.613,239293,0.928,1,0.00114,9,0.145,-6.395,0,0.0682,120.03,4,0.273
The Battle is Over (But the War Goes On),0.356,0.511,192600,0.748,0,0.00189,5,0.302,-7.622,0,0.0974,79.086,4,0.833
Vive La Frenchcore Anthem - Original Mix,0.161,0.647,310800,0.982,0,0.358,5,0.0908,-6.132,1,0.0551,99.99,4,0.199
Cell - Album Edit,0.0104,0.689,210000,0.786,1,0.0482,3,0.0932,-5.373,0,0.04,127.997,4,0.115
Blask,0.73,0.722,243600,0.369,0,0.00101,2,0.0917,-13.716,0,0.0315,104.995,4,0.525
Relación,0.125,0.805,184255,0.562,0,4.96e-06,7,0.148,-3.117,0,0.105,172.094,4,0.767
Next to You,0.000408,0.463,328525,0.795,1,0.129,8,0.161,-9.49,1,0.0307,121.994,4,0.154
Mama Said,0.0171,0.448,319693,0.504,0,0.000849,8,0.38,-7.749,0,0.0317,135.254,4,0.391
Esja,0.987,0.416,261307,0.127,0,0.901,4,0.104,-27.47,0,0.0408,143.155,1,0.176
Aeolis Mons I,0.931,0.373,166935,0.303,1,0.859,2,0.0932,-17.65,0,0.046,123.917,4,0.206
WIEE (feat. Mesto),0.278,0.52,203452,0.835,1,0.863,1,0.0711,-7.775,1,0.0544,127.955,4,0.373
Aura Lusia,0.00174,0.556,214215,0.823,1,0.916,2,0.262,-6.246,1,0.0435,120.986,4,0.0693
"Madera - Joe Manina, Antonio Manero Spaziani Radio Edit",0.000503,0.549,188820,0.98,1,0.344,0,0.33,-3.897,1,0.0579,124.951,4,0.365
In a Year From Now,0.474,0.611,189660,0.742,0,0.0,2,0.179,-4.18,1,0.24,91.971,4,0.475
Granda Rework,0.00173,0.63,224267,0.804,1,0.0324,11,0.202,-6.79,0,0.035,133.049,4,0.68
Fair Weather - Remastered,0.872,0.615,344067,0.204,0,0.382,7,0.071,-16.075,1,0.0439,96.47,4,0.496
Chemicals,0.196,0.789,248899,0.896,1,0.897,6,0.115,-7.516,0,0.0405,122.963,4,0.18
The Snake,0.00191,0.701,213724,0.98,1,0.513,2,0.357,-5.128,1,0.0504,126.02,4,0.727
R U Mine?,0.00616,0.288,201726,0.758,1,0.0,6,0.303,-5.692,0,0.0371,97.094,4,0.619
My Honest Face,0.000498,0.414,274053,0.949,0,0.000317,5,0.102,-6.038,1,0.0767,159.999,4,0.46
Fade,0.684,0.548,209755,0.468,1,4.3e-06,7,0.117,-9.153,1,0.0366,114.925,4,0.04
Jestem Na Jutubie (Extended),0.00493,0.814,273281,0.959,0,7.64e-06,11,0.227,-2.94,0,0.0686,131.995,4,0.885
Ramię W Ramię,0.0378,0.648,199760,0.722,0,0.0,1,0.0432,-4.546,0,0.211,103.901,4,0.766
Ipanema - Marcus Schossow Remix,8.74e-05,0.57,198000,0.938,1,0.547,7,0.688,-7.979,1,0.0462,125.014,4,0.237
Andale,0.00437,0.769,220952,0.964,1,0.206,11,0.0591,-3.853,0,0.215,126.033,4,0.698
Forget Your Soul,0.0132,0.801,496930,0.616,1,0.846,9,0.111,-9.112,0,0.053,124.991,4,0.0721
Higher Love,0.0154,0.693,228267,0.678,0,6.05e-06,8,0.101,-7.159,1,0.0324,103.952,4,0.404
Unknown,0.000317,0.521,153590,0.949,0,2.07e-05,8,0.109,-5.53,1,0.0732,92.48,4,0.368
My Love (feat. Jess Glynne),0.000132,0.814,259934,0.622,1,0.72,8,0.0658,-7.573,1,0.0492,119.976,4,0.726
Shameless,0.00215,0.649,190000,0.707,1,0.77,8,0.0823,-8.598,1,0.0368,119.996,4,0.0989
El Bandolero,0.00641,0.743,345621,0.901,1,0.811,8,0.213,-4.523,0,0.253,125.011,4,0.409
The Main Room - Part 1,0.0958,0.717,487500,0.579,1,0.95,9,0.0477,-12.024,0,0.0707,128.001,4,0.0293
Creep,0.00563,0.532,235667,0.344,1,0.000473,7,0.115,-13.057,1,0.035,91.834,4,0.126
The First Time,0.00904,0.541,284390,0.854,1,0.861,1,0.108,-9.556,1,0.0344,123.005,4,0.53
Lo Malo,0.363,0.71,180832,0.739,1,1.83e-06,9,0.0613,-4.414,1,0.0453,94.993,4,0.784
Nowy Kolor,0.631,0.694,188113,0.663,1,0.0,11,0.0906,-6.882,0,0.334,154.852,4,0.214
Simple,0.0775,0.78,169334,0.822,1,5.13e-05,1,0.557,-4.535,0,0.319,121.11,4,0.55
Nightcall,0.00895,0.509,257320,0.856,1,0.0108,9,0.424,-5.091,0,0.0553,91.02,4,0.427
Zeit für Sommer,0.501,0.669,361385,0.378,1,0.895,7,0.125,-14.968,0,0.0348,117.984,4,0.078
Alegría,0.325,0.672,272164,0.548,1,0.00701,5,0.104,-10.691,0,0.0449,98.993,4,0.325
Superstar,0.134,0.829,291160,0.861,0,0.00566,0,0.0908,-5.672,1,0.0797,124.201,4,0.727
Kate Moss,0.0033,0.495,165253,0.83,1,9.64e-06,2,0.0632,-6.666,1,0.0576,170.058,4,0.74
Feel The Love - Sam Feldt Edit,0.0487,0.645,170496,0.835,1,1.16e-05,3,0.0947,-4.374,0,0.045,121.997,4,0.438
Wszystko Jedno,0.226,0.538,310152,0.386,1,0.0,6,0.119,-14.142,0,0.426,107.756,5,0.381
This I Love,0.603,0.263,334373,0.442,0,2.99e-06,8,0.106,-8.279,0,0.0309,92.179,4,0.133
Let's Celebrate Our Love,0.261,0.657,275911,0.754,0,6.85e-05,5,0.0921,-6.432,1,0.0279,121.948,4,0.936
The Problem,0.0107,0.798,430521,0.769,1,0.866,6,0.104,-13.343,1,0.0503,126.003,4,0.0909
Illusions,0.739,0.746,214538,0.689,1,0.151,10,0.226,-8.337,0,0.0405,122.027,4,0.727
Would You Believe - Original Mix,0.152,0.839,270252,0.468,1,0.032,4,0.0629,-10.358,0,0.0347,118.977,4,0.475
Moving Day,0.00222,0.805,561830,0.407,1,0.923,4,0.0467,-11.669,0,0.0931,119.999,4,0.561
Agua De Estrellas - Mose Remix,0.231,0.749,611613,0.416,1,0.0771,1,0.159,-10.472,1,0.0323,124.007,4,0.439
Summer Of '69,0.0183,0.508,216053,0.834,0,0.0,2,0.0732,-6.205,1,0.0386,139.131,4,0.774
Sailin' Shoes,0.02,0.473,203347,0.913,0,0.000109,8,0.487,-6.05,1,0.0594,94.518,4,0.594
Sandcastles - Sam Void Remix,0.0134,0.584,206949,0.879,1,0.0,9,0.422,-4.935,0,0.0841,118.131,4,0.316
